ESTOQUE DE DÍVIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valores em R$ 1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISCRIMINAÇÃO de credores;ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO;;;;;;;;;;;;;;
1.1.1.1.11.6 - Precatórios;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.7  - Conta Gráfica Estoque;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.12 - CEF/VOTO 162;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.13 - CEF (outras);2013;134.681.851,82;313.192.546,90;462.654.036,71;2.751.183,20;238.070.067,21;124.042.323,50;618.800.740,77;349.567.647,05;3.570.805.665,24;8.610.843,65;12.245.973,17;13.640.025,60;606.916.764,93;384.886.701,75;167.863.109,07;1.961.436.511,07;181.165.791,00;49.548.708,92;1.042.575.885,00;274.779.825,14;16.580.823,57;850.427.229,71;17.569.503,55;10.952.273,71;354.017.820,99;43.425.521,85;34.719.764,15;;;;;;;;;;;;;;
1.1.1.1.14 - Parcelamento - PIS/PASEP;2013;0,00;9.322.731,83;6.332.269,47;0,00;57.753.328,15;55.602.928,69;0,00;395.756.447,68;27.866.039,72;15.301.147,18;17.712.206,51;74.983.299,05;4.880.024,00;0,00;0,00;0,00;0,00;1.084.496.049,43;712.133.353,59;104.657.081,00;0,00;2.399.579,09;0,00;242.499.454,17;61.591.978,77;0,00;17.607.898,83;;;;;;;;;;;;;;
1.1.1.1.15 - B.Brasil;2013;136.384.166,76;0,00;652.430.000,00;271.464.661,14;621.570.273,15;484.120.014,42;0,00;0,00;523.853.497,85;0,00;4.605.080.428,05;0,00;729.275.180,44;209.442.973,76;0,00;0,00;371.907.396,00;0,00;4.461.702.106,00;279.848.479,23;0,00;449.229.125,00;300.000.000,00;250.261.750,00;28.428.906,71;2.126.357.502,97;249.450.921,51;;;;;;;;;;;;;;
1.1.1.1.16 - BNDES;2013;1.608.405.265,89;249.605.999,74;942.099.846,06;280.783.640,00;1.787.925.562,49;1.742.201.609,45;254.024.842,98;1.555.571.351,87;658.633.642,82;951.863.461,35;1.636.228.109,78;543.808.847,13;607.367.758,33;687.925.046,99;590.174.766,42;2.045.546.483,31;903.897.056,00;125.553.578,20;2.203.822.741,00;298.997.437,07;436.062.607,28;0,00;788.285.840,95;1.934.507.765,33;855.392.586,72;3.352.562.101,73;875.262.859,88;;;;;;;;;;;;;;
1.1.1.1.17 - Outros Bancos Federais;2013;0,00;5.688.515,67;0,00;0,00;155.915.004,15;181.224.652,12;0,00;0,00;0,00;25.110.027,03;49.390.579,71;0,00;0,00;111.636.511,16;13.790.437,36;165.567.776,07;232.750.115,00;0,00;0,00;59.171.642,56;0,00;0,00;0,00;0,00;26.135.164,85;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.18 - Demais Dívidas com a União;2013;0,00;8.370.119,40;0,00;0,00;0,00;9.517.938,27;13.162.094,04;0,00;120.041.381,26;71.992,41;4.459.427,04;0,00;13.487.836,97;0,00;0,00;0,00;45.737.709,00;0,00;0,00;0,00;0,00;136.196.779,05;0,00;116.911.705,62;0,00;0,00;607.053,70;;;;;;;;;;;;;;
1.1.1.2 - Outras Dívidas Contratuais;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;221.127.662,87;200.000.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;174.897,00;3.317.214.635,39;187.543.295,00;0,00;2.503.077,95;0,00;0,00;38.012.754,41;8.537.022,44;0,00;6.300.000,00;;;;;;;;;;;;;;
1.1.1.2.1 - Bancos Estaduais;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.2 - Bancos Privados;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.936.660.286,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.3 - Demais;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;221.127.662,87;200.000.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;174.897,00;1.380.554.349,20;187.543.295,00;0,00;2.503.077,95;0,00;0,00;38.012.754,41;8.537.022,44;0,00;6.300.000,00;;;;;;;;;;;;;;
1.1.2 - Mobiliária Interna;2013;0,00;160.866.519,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.2.1 - Principal;2013;0,00;160.866.519,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2 - Fundada Externa;2013;628.837.316,60;661.072.677,70;1.467.084.277,78;5.700.015,03;5.311.028.599,07;2.747.942.787,55;687.663.121,85;494.907.612,09;45.244.286,00;1.589.639.246,82;9.396.372.885,71;784.485.219,87;1.123.764.735,08;505.812.664,84;258.658.185,21;3.748.396.924,74;899.822.138,00;557.823.880,18;7.307.735.226,00;162.732.720,82;0,00;0,00;3.541.473.305,31;2.379.192.556,51;429.406.081,01;7.366.199.758,23;683.033.377,05;;;;;;;;;;;;;;
1.2.1 - Contratual;2013;628.837.316,60;661.072.677,70;1.467.084.277,78;5.700.015,03;5.311.028.599,07;2.747.942.787,55;687.663.121,85;494.907.612,09;45.244.286,00;1.589.639.246,82;9.396.372.885,71;784.485.219,87;1.123.764.735,08;505.812.664,84;258.658.185,21;3.748.396.924,74;899.822.138,00;557.823.880,18;7.304.110.384,00;162.732.720,82;0,00;0,00;3.541.473.305,31;2.379.192.556,51;429.406.081,01;7.366.199.758,23;683.033.377,05;;;;;;;;;;;;;;
1.2.1.1 - Sem aval do Tesouro Nacional;2013;0,00;0,00;0,00;0,00;0,00;161.824.398,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.1.2 - Com aval do TN até 30/09/91;2013;0,00;0,00;23,65;0,00;0,00;3.823.203,69;15.143.696,38;0,00;0,00;0,00;52.864.053,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.1.3 - Com aval do TN após 30/09/91;2013;628.837.316,60;661.072.677,70;1.467.084.254,13;5.700.015,03;5.311.028.599,07;2.582.295.185,43;672.519.425,47;494.907.612,09;45.244.286,00;1.589.639.246,82;9.343.508.832,61;784.485.219,87;1.123.764.735,08;505.812.664,84;258.658.185,21;3.748.396.924,74;899.822.138,00;557.823.880,18;7.304.110.384,00;162.732.720,82;0,00;0,00;3.541.473.305,31;2.379.192.556,51;429.406.081,01;7.366.199.758,23;683.033.377,05;;;;;;;;;;;;;;
1.2.2 - Mobiliária Externa;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.624.842,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.2.1 - Principal;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.624.842,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2 - Flutuante;2013;0,00;0,00;0,00;0,00;0,00;613.975.870,14;0,00;0,00;0,00;375.011.131,55;0,00;0,00;0,00;0,00;919.860.671,77;0,00;0,00;0,00;737.981.139,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;181.683.497,19;;;;;;;;;;;;;;
2.1 - Empreiteiros;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.2 - Fornecedores;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.3 - Autofinanciamentos;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.4 - Folha de Pagamentos;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.5 - AROs;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.6 - INSS;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.7 - FGTS;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.8 - PIS/PASEP e Inst. de Pensão;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.9 - Precatórios;2013;0,00;0,00;0,00;0,00;0,00;613.975.870,14;0,00;0,00;0,00;271.091.510,06;0,00;0,00;0,00;0,00;919.860.671,77;0,00;0,00;0,00;737.981.139,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;181.683.497,19;;;;;;;;;;;;;;
2.10 - Outras;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;103.919.621,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
TOTAL ADM. DIRETA;2013;2.866.844.853,96;9.035.401.985,71;4.665.613.850,64;656.158.164,87;12.903.390.306,88;6.980.854.715,13;2.785.486.927,85;4.991.801.660,51;16.719.780.837,57;4.589.831.752,58;84.473.696.575,67;7.872.186.524,07;5.365.028.075,93;3.103.015.099,01;3.088.944.871,18;10.882.043.150,51;3.071.213.036,61;14.777.498.142,83;79.563.746.835,06;1.513.358.492,17;2.316.873.344,12;1.752.400.999,02;50.428.332.112,41;13.912.243.362,74;2.835.018.696,23;207.823.144.163,29;2.101.845.189,97;;;;;;;;;;;;;;
3 - DÍVIDA FUNDADA - Adm. Indireta;2013;152.977.896,33;0,00;1.848.680,17;1.568.879.100,09;0,00;655.703.862,04;127.929.264,76;32.544.904,67;40.514.449,02;0,00;0,00;0,00;203.685.406,71;89.338.273,80;659.359,70;384.376.136,01;0,00;304.838.174,33;130.867.839,68;4.241.571,37;17.936.568,72;9.921.086,24;0,00;21.733.260,07;0,00;1.269.189.211,46;0,00;;;;;;;;;;;;;;
3.1 -   Fundada Interna;2013;152.977.896,33;0,00;1.848.680,17;1.568.879.100,09;0,00;655.703.862,04;127.929.264,76;32.544.904,67;40.514.449,02;0,00;0,00;0,00;203.685.406,71;89.338.273,80;659.359,70;384.376.136,01;0,00;304.838.174,33;130.867.839,68;4.241.571,37;17.936.568,72;9.921.086,24;0,00;21.733.260,07;0,00;822.228.916,91;0,00;;;;;;;;;;;;;;
3.1.1 - Contratual;2013;152.977.896,33;0,00;1.848.680,17;1.568.879.100,09;0,00;655.703.862,04;127.929.264,76;32.544.904,67;40.514.449,02;0,00;0,00;0,00;203.685.406,71;89.338.273,80;659.359,70;384.376.136,01;0,00;304.838.174,33;130.867.839,68;4.241.571,37;17.936.568,72;9.921.086,24;0,00;21.733.260,07;0,00;822.228.916,91;0,00;;;;;;;;;;;;;;
3.1.1.1 - União;2013;152.977.896,33;0,00;1.848.680,17;882.663.607,53;0,00;655.703.862,04;127.929.264,76;8.837.959,83;40.514.449,02;0,00;0,00;0,00;203.685.406,71;86.467.199,84;659.359,70;384.376.136,01;0,00;304.838.174,33;61.651.442,68;4.241.571,37;17.936.568,72;9.921.086,24;0,00;15.119.654,30;0,00;822.228.916,91;0,00;;;;;;;;;;;;;;
3.1.1.1.1 - BIB;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.2 - BEA;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.3 - Clube de Paris;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.4 - DMLP;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;47.282.392,12;0,00;0,00;0,00;0,00;40.629.959,68;0,00;17.936.568,72;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.5 - Lei 7.976/89;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.6 - Parc.  FGTS até 31/03/96;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19.492.254,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.7 - Parc.  FGTS após 31/03/96;2013;721.348,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.299.978,24;906.181,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.8 - Parc.  INSS até 01/12/92;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.9 - Parc.  INSS após 01/12/92;2013;83.643.159,11;0,00;0,00;0,00;0,00;0,00;51.710.698,85;2.846.557,60;21.022.194,53;0,00;0,00;0,00;0,00;2.511.589,74;475.791,83;41.939.062,18;0,00;0,00;20.865.617,00;0,00;0,00;0,00;0,00;12.777.468,49;0,00;822.228.916,91;0,00;;;;;;;;;;;;;;
3.1.1.1.10 - Lei 8.727/93;2013;68.613.389,11;0,00;0,00;0,00;0,00;655.703.862,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31.052.822,71;0,00;322.685.909,50;0,00;304.838.174,33;0,00;0,00;0,00;9.921.086,24;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.11 - Lei 9.496/97;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.12 - CEF/VOTO 162;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.13 - CEF (outras);2013;0,00;0,00;1.848.680,17;0,00;0,00;0,00;76.218.565,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.936.691,48;0,00;0,00;155.866,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.14 - Parcelamento - PIS/PASEP;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.714.213,94;183.567,87;16.814.472,85;0,00;0,00;0,00;4.241.571,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.15 - B.Brasil;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.16 - BNDES;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.17 - Outros Bancos Federais;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.18 - Demais Dívidas com a União;2013;0,00;0,00;0,00;882.663.607,53;0,00;0,00;0,00;5.991.402,23;0,00;0,00;0,00;0,00;198.385.428,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.342.185,81;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.2 - Outras Dívidas Contratuais;2013;0,00;0,00;0,00;686.215.492,56;0,00;0,00;0,00;23.706.944,84;0,00;0,00;0,00;0,00;0,00;2.871.073,96;0,00;0,00;0,00;0,00;69.216.397,00;0,00;0,00;0,00;0,00;6.613.605,77;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.2.1 - Bancos Estaduais;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.2.2 - Bancos Privados;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.2.3 - Demais;2013;0,00;0,00;0,00;686.215.492,56;0,00;0,00;0,00;23.706.944,84;0,00;0,00;0,00;0,00;0,00;2.871.073,96;0,00;0,00;0,00;0,00;69.216.397,00;0,00;0,00;0,00;0,00;6.613.605,77;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.2 - Mobiliária Interna;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.2 - Fundada Externa;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;446.960.294,55;0,00;;;;;;;;;;;;;;
3.2.1 - Contratual;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;446.960.294,55;0,00;;;;;;;;;;;;;;
3.2.1.1 - Sem aval do Tesouro Nacional;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.2.1.2 - Com aval do TN até 30/09/91;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.2.1.3 - Com aval do TN após 30/09/91;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;446.960.294,55;0,00;;;;;;;;;;;;;;
3.2.2 - Mobiliária Externa;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4 - Flutuante;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.1 - Empreiteiros;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.2 - Fornecedores;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.3 - Autofinanciamentos;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.4 - Folha de Pagamentos;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.5 - AROs;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.6 - INSS;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.7 - FGTS;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.8 - PIS/PASEP e Inst. de Pensão;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.9 - Precatórios;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.10 - Outras;2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
TOTAL ADM. INDIRETA;2013;152.977.896,33;0,00;1.848.680,17;1.568.879.100,09;0,00;655.703.862,04;127.929.264,76;32.544.904,67;40.514.449,02;0,00;0,00;0,00;203.685.406,71;89.338.273,80;659.359,70;384.376.136,01;0,00;304.838.174,33;130.867.839,68;4.241.571,37;17.936.568,72;9.921.086,24;0,00;21.733.260,07;0,00;1.269.189.211,46;0,00;;;;;;;;;;;;;;
Dívida Financeira;2013;3.019.822.750,29;9.035.401.985,71;4.667.462.530,81;2.225.037.264,96;12.903.390.306,88;7.022.582.707,03;2.913.416.192,61;5.024.346.565,18;16.760.295.286,59;4.214.820.621,03;84.473.696.575,67;7.872.186.524,07;5.568.713.482,64;3.192.353.372,81;2.169.743.559,11;11.266.419.286,52;3.071.213.036,61;15.082.336.317,16;78.956.633.535,74;1.517.600.063,54;2.334.809.912,84;1.762.322.085,26;50.428.332.112,41;13.933.976.622,81;2.835.018.696,23;209.092.333.374,75;1.920.161.692,78;;;;;;;;;;;;;;
RLR;2013;3.224.564.652,82;4.915.460.163,90;9.327.676.257,54;3.088.363.602,02;19.645.744.482,61;12.086.955.650,58;13.107.168.091,17;9.722.013.889,05;11.561.768.174,25;8.574.261.741,91;36.062.415.036,35;5.969.730.571,69;7.993.569.626,17;12.482.673.201,57;6.154.530.325,69;13.768.525.362,58;0,00;22.405.852.028,00;39.866.103.265,05;6.608.256.198,35;4.265.478.013,73;2.065.471.186,08;21.366.014.843,32;14.368.834.797,23;5.090.077.261,08;103.573.832.953,35;4.732.985.040,03;;;;;;;;;;;;;;
